,l,ClTT001,ClTT01,ClTT1
0,0,0.0,0.0,0.0
1,1,0.0,0.0,0.0
2,2,918.4666574964388,987.114408944437,1080.3628881403513
3,3,894.8215440595385,963.285180752269,1037.1374261792164
4,4,866.3825145722044,930.4307636285563,987.7328762359314
5,5,844.4782718152593,902.8553898279299,947.2026579674655
6,6,830.116296097334,882.8515520225388,917.3775669496027
7,7,822.2723770730454,869.7971090724131,897.0008804173204
8,8,818.8647680637531,861.5975505075033,883.2411388174836
9,9,819.1233098118254,857.4629659103078,874.7468615695515
10,10,822.1384477285568,856.5493446281487,870.4297788561239
11,11,826.9246413207156,857.9097117489108,869.2346818135313
12,12,834.5126767509847,862.4917747433203,871.9201617879603
13,13,842.9487697678094,868.2754666853109,876.3218479142835
14,14,852.0755573556792,874.9930855135569,881.9196758629203
15,15,861.0911614244199,881.8324816410835,887.8671307741809
16,16,871.7551272855316,890.522313162798,895.819036925233
17,17,883.9953346963644,900.9813772329635,905.6810816321638
18,18,896.7653290637587,912.1596752130724,916.4055294097374
19,19,910.7983854966217,924.7709367920221,928.6740498351924
20,20,924.4523095396918,937.1514409362494,940.7872045899445
21,21,938.4937487864895,950.0543854514979,953.4821687897368
22,22,953.0214996703996,963.5659710427288,966.8337115625841
23,23,967.6225472728456,977.2559265966662,980.3988001128703
24,24,982.5763175917155,991.3866816687797,994.4281188975352
25,25,998.0193415811331,1006.0834703676165,1009.0405534171692
26,26,1013.4764858048272,1020.8626540442363,1023.7480384714244
27,27,1029.377900541359,1036.151344850825,1038.9755514573128
28,28,1045.5760377957026,1051.7996670734035,1054.5715410524656
29,29,1062.0128871373233,1067.7446572817435,1070.4709130781491
30,30,1078.89198365416,1084.184033973639,1086.8692486884354
31,31,1095.568416013271,1100.4662403385294,1103.1132825629838
32,32,1112.8090808650277,1117.3519528559993,1119.9623030626444
33,33,1130.0990684416438,1134.3225719062236,1136.8971752565901
34,34,1147.4422084199596,1151.3789070997839,1153.9183105811421
35,35,1165.4357461773377,1169.115332778645,1171.6193810204877
36,36,1183.1901181472765,1186.6394235168627,1189.1077034841687
37,37,1201.230870161734,1204.4737511609746,1206.9076751847
38,38,1219.6607139964444,1222.7180229740486,1225.1207212916188
39,39,1238.3729702206738,1241.2625452175043,1243.6363531718669
40,40,1257.2773245827427,1260.0139868220213,1262.3598166402226
41,41,1276.2804667181406,1278.8764205036935,1281.194084899922
42,42,1295.388524159957,1297.854956706749,1300.1444633764695
43,43,1314.6194848803468,1316.9669662278027,1319.2288414571283
44,44,1334.0284793102117,1336.2669622690405,1338.5022509182775
45,45,1353.6854951905,1355.824315298619,1358.0345807895324
46,46,1373.5612043581796,1375.609054494132,1377.7962529264646
47,47,1393.6375726741878,1395.602401624255,1397.7683782723664
48,48,1413.8863900670265,1415.775377158917,1417.9217405964143
