,l,ClTT001,ClTT01,ClTT1
0,0,0.0,0.0,0.0
1,1,0.0,0.0,0.0
2,2,897.7805835157185,1000.5689469744766,1119.859320335951
3,3,882.242439635941,989.3024569086828,1088.947777486815
4,4,860.4867365131796,965.7448455636589,1048.4767432178019
5,5,843.5124295216606,944.5501123072067,1014.0650450256737
6,6,832.6516521427999,928.8755668266632,988.6438839916332
7,7,827.3095239531749,918.8956033855587,972.152719231355
8,8,825.6981453061825,912.7367720717293,962.0641352036556
9,9,827.224297711006,909.6812390436695,956.971621672574
10,10,831.1351754810318,909.2480684615465,955.9377063059053
11,11,836.6291254325807,911.0923725040017,958.5790041678221
12,12,844.7598486396478,916.2796468045296,965.8334572261816
13,13,853.5115422504113,922.9488585465278,976.4937606442691
14,14,862.7888617836729,930.2904213896171,988.1795131108919
15,15,871.8643806886878,937.6820742829854,1000.2441604864163
16,16,882.4551735994888,946.6259902307266,1013.4548396367735
17,17,894.4843890806027,957.2013638414819,1028.1538873563507
18,18,906.9218244414554,968.6107120608378,1044.018746619177
19,19,920.528732095334,981.5827432536993,1061.6567593652346
20,20,933.6897223638695,994.4204804209782,1079.1512170334672
21,21,947.181831806735,1007.8884634342561,1097.2497599145167
22,22,961.1076199775375,1022.0850855900976,1116.0697648352118
23,23,975.0477473499561,1036.5510723123175,1135.111641272412
24,24,989.2744738249662,1051.5139908850663,1154.5576592075042
25,25,1003.9238860132136,1067.0819740148738,1174.5100281402706
26,26,1018.5242141710821,1082.7626080532946,1194.4882914759708
27,27,1033.5174827689668,1098.9897751014403,1214.9704353405398
28,28,1048.7682373315085,1115.621243922394,1235.8565171607204
29,29,1064.222927978967,1132.5896490736047,1257.0820517510017
30,30,1080.0846055357642,1150.080766871829,1278.8241406309153
31,31,1095.6957284285488,1167.4129846005007,1300.3856844700388
32,32,1111.8140971411724,1185.3208754359498,1322.489926376211
33,33,1127.9419883946591,1203.2936611372772,1344.6381960176875
34,34,1144.1048261879193,1221.3430433006076,1366.8521521643738
35,35,1160.9127993292889,1240.0526465988646,1389.6933357104278
36,36,1177.4798753424193,1258.5185209532847,1412.2480725378623
37,37,1194.3061331325061,1277.2702559008728,1435.1177080102545
38,38,1211.4693719819804,1296.414157006156,1458.4765648532607
39,39,1228.8692161722997,1315.826909546623,1482.172910923058
40,40,1246.4294590570246,1335.3965064375489,1506.0422130921263
41,41,1264.068511162287,1355.0131089590875,1529.933152956728
42,42,1281.7946746761893,1374.686975261697,1553.858694320743
43,43,1299.6257255402197,1394.4453884702377,1577.8598723243413
44,44,1317.616581998516,1414.3527739155638,1602.0148643511723
45,45,1335.837019469593,1434.4884140239378,1626.4167049188056
46,46,1354.257829703784,1454.8305340328977,1651.0537558298174
47,47,1372.8624277824592,1475.3616886291702,1675.9042461134775
