,l,ClTT0,ClTT033,ClTT067,ClTT1
0,0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0
2,2,1021.9774220491148,1003.9182847771411,987.114408944437,1000.5689469744766
3,3,967.8679794234121,965.1671611302423,963.285180752269,989.3024569086828
4,4,915.9035899136885,922.2111890677002,930.4307636285563,965.7448455636589
5,5,877.1673231016468,888.310341950549,902.8553898279299,944.5501123072067
6,6,850.7658059171343,864.3617271324099,882.8515520225388,928.8755668266632
7,7,834.0261495618734,848.8053286849175,869.7971090724131,918.8956033855587
8,8,824.0092807524575,839.2178796971043,861.5975505075033,912.7367720717293
9,9,819.3493477333449,834.5013700729236,857.4629659103078,909.6812390436695
10,10,818.5973561888628,833.4336443033608,856.5493446281487,909.2480684615465
11,11,820.3657232856539,834.7882615833096,857.9097117489108,911.0923725040017
12,12,825.3819975798938,839.40606267258,862.4917747433203,916.2796468045296
13,13,831.7416978551973,845.3683161207126,868.2754666853109,922.9488585465278
14,14,839.2758668953626,852.4740859413956,874.9930855135569,930.2904213896171
15,15,846.9343633352048,859.7109608734133,881.8324816410835,937.6820742829854
16,16,856.4995379643477,868.8440067455417,890.522313162798,946.6259902307266
17,17,867.8188850398415,879.755166641494,900.9813772329635,957.2013638414819
18,18,879.7457192996014,891.3375082616501,912.1596752130724,968.6107120608378
19,19,893.0372564373588,904.3328973227992,924.7709367920221,981.5827432536993
20,20,906.0813017051504,917.1062734882548,937.1514409362494,994.4204804209782
21,21,919.5745677384574,930.3565242881567,950.0543854514979,1007.8884634342561
22,22,933.5453084810283,944.1185151839635,963.5659710427288,1022.0850855900976
23,23,947.607471107504,958.0055109003794,977.2559265966662,1036.5510723123175
24,24,962.0809528872431,972.3333774017606,991.3866816687797,1051.5139908850663
25,25,977.0992881667288,987.2255163312502,1006.0834703676165,1067.0819740148738
26,26,992.1719542319411,1002.1830033875615,1020.8626540442363,1082.7626080532946
27,27,1007.7076092227945,1017.6191210683677,1036.151344850825,1098.9897751014403
28,28,1023.5357636325057,1033.3711580700601,1051.7996670734035,1115.621243922394
29,29,1039.5757707815997,1049.3658354599536,1067.7446572817435,1132.5896490736047
30,30,1056.0210211575272,1065.7993903072404,1084.184033973639,1150.080766871829
31,31,1072.2661200116293,1082.051600368452,1100.4662403385294,1167.4129846005007
32,32,1089.1175128475043,1098.913767719201,1117.3519528559993,1185.3208754359498
33,33,1106.0503064613138,1115.8622662141079,1134.3225719062236,1203.2936611372772
34,34,1123.045825923197,1132.8831519940325,1151.3789070997839,1221.3430433006076
35,35,1140.6782594035103,1150.5527900152363,1169.115332778645,1240.0526465988646
36,36,1158.0401944225428,1167.9658036542114,1186.6394235168627,1258.5185209532847
37,37,1175.6607134488227,1185.655301958627,1204.4737511609746,1277.2702559008728
38,38,1193.6512376977607,1203.7353519396916,1222.7180229740486,1296.414157006156
39,39,1211.9131026048765,1222.1024211279685,1241.2625452175043,1315.826909546623
40,40,1230.3638352302066,1240.6672901983945,1260.0139868220213,1335.3965064375489
41,41,1248.9158106439297,1259.3370916125461,1278.8764205036935,1355.0131089590875
42,42,1267.5722179515792,1278.1157871903902,1297.854956706749,1374.686975261697
43,43,1286.3459508154797,1297.0185470925198,1316.9669662278027,1394.4453884702377
44,44,1305.2870454647064,1316.0976839869245,1336.2669622690405,1414.3527739155638
45,45,1324.4603955413768,1335.420367900337,1355.824315298619,1434.4884140239378
46,46,1343.8327009935172,1354.9548567717395,1375.609054494132,1454.8305340328977
47,47,1363.3864443346306,1374.682317683222,1395.602401624255,1475.3616886291702
48,48,1383.0950543414995,1394.5741455987813,1415.775377158917,1496.0525153725353
49,49,1402.9468167149353,1414.6165923766023,1436.1138584135824,1516.8885086370192
