,l,ClTT0,ClTT033,ClTT067,ClTT1
0,0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0
2,2,1021.9774220491148,971.8593419604445,918.4666574964388,897.7805835157185
3,3,967.8679794234121,934.0773280025661,894.8215440595385,882.242439635941
4,4,915.9035899136885,893.9912116604928,866.3825145722044,860.4867365131796
5,5,877.1673231016468,863.3509430979025,844.4782718152593,843.5124295216606
6,6,850.7658059171343,842.4754106692948,830.116296097334,832.6516521427999
7,7,834.0261495618734,829.6570434997936,822.2723770730454,827.3095239531749
8,8,824.0092807524575,822.4814747065947,818.8647680637531,825.6981453061825
9,9,819.3493477333449,819.8688360681576,819.1233098118254,827.224297711006
10,10,818.5973561888628,820.6112193663912,822.1384477285568,831.1351754810318
11,11,820.3657232856539,823.5088866945607,826.9246413207156,836.6291254325807
12,12,825.3819975798938,829.4504989394668,834.5126767509847,844.7598486396478
13,13,831.7416978551973,836.5504196731914,842.9487697678094,853.5115422504113
14,14,839.2758668953626,844.6468939318429,852.0755573556792,862.7888617836729
15,15,846.9343633352048,852.7491231354041,861.0911614244199,871.8643806886878
16,16,856.4995379643477,862.6435094587047,871.7551272855316,882.4551735994888
17,17,867.8188850398415,874.2231961441946,883.9953346963644,894.4843890806027
18,18,879.7457192996014,886.3899882562256,896.7653290637587,906.9218244414554
19,19,893.0372564373588,899.897007947652,910.7983854966217,920.528732095334
20,20,906.0813017051504,913.1205311892534,924.4523095396918,933.6897223638695
21,21,919.5745677384574,926.7685822110038,938.4937487864895,947.181831806735
22,22,933.5453084810283,940.8839357757809,953.0214996703996,961.1076199775375
23,23,947.607471107504,955.0850558879532,967.6225472728456,975.0477473499561
24,24,962.0809528872431,969.6923764721178,982.5763175917155,989.2744738249662
25,25,977.0992881667288,984.8340518267015,998.0193415811331,1003.9238860132136
26,26,992.1719542319411,1000.0156460127051,1013.4764858048272,1018.5242141710821
27,27,1007.7076092227945,1015.6536879625577,1029.377900541359,1033.5174827689668
28,28,1023.5357636325057,1031.5880486209264,1045.5760377957026,1048.7682373315085
29,29,1039.5757707815997,1047.7466164152693,1062.0128871373233,1064.222927978967
30,30,1056.0210211575272,1064.3266491384486,1078.89198365416,1080.0846055357642
31,31,1072.2661200116293,1080.7097735365508,1095.568416013271,1095.6957284285488
32,32,1089.1175128475043,1097.6893651831906,1112.8090808650277,1111.8140971411724
33,33,1106.0503064613138,1114.7439411188388,1130.0990684416438,1127.9419883946591
34,34,1123.045825923197,1131.8614582487369,1147.4422084199596,1144.1048261879193
35,35,1140.6782594035103,1149.619142839107,1165.4357461773377,1160.9127993292889
36,36,1158.0401944225428,1167.112144745448,1183.1901181472765,1177.4798753424193
37,37,1175.6607134488227,1184.873799546802,1201.230870161734,1194.3061331325061
38,38,1193.6512376977607,1203.0184876078781,1219.6607139964444,1211.4693719819804
39,39,1211.9131026048765,1221.4436369761743,1238.3729702206738,1228.8692161722997
40,40,1230.3638352302066,1240.061150657851,1257.2773245827427,1246.4294590570246
41,41,1248.9158106439297,1258.7791479267182,1276.2804667181406,1264.068511162287
42,42,1267.5722179515792,1277.6020352479136,1295.388524159957,1281.7946746761893
43,43,1286.3459508154797,1296.5452919021695,1314.6194848803468,1299.6257255402197
44,44,1305.2870454647064,1315.6615396975787,1334.0284793102117,1317.616581998516
45,45,1324.4603955413768,1335.018257817321,1353.6854951905,1335.837019469593
46,46,1343.8327009935172,1354.5839934630262,1373.5612043581796,1354.257829703784
47,47,1363.3864443346306,1374.3401233626582,1393.6375726741878,1372.8624277824592
48,48,1383.0950543414995,1394.2582322242777,1413.8863900670265,1391.624385140566
49,49,1402.9468167149353,1414.3247616505278,1434.294303314449,1410.532130026588
