,l,ClTT001,ClTT01,ClTT1
0,0,0.0,0.0,0.0
1,1,0.0,0.0,0.0
2,2,971.8593419604445,1003.9182847771411,1047.4061098816217
3,3,934.0773280025661,965.1671611302423,997.5100534942216
4,4,893.9912116604928,922.2111890677002,945.8819763274728
5,5,863.3509430979025,888.310341950549,905.7139490202326
6,6,842.4754106692948,864.3617271324099,877.3402005755903
7,7,829.6570434997936,848.8053286849175,858.6584800801041
8,8,822.4814747065947,839.2178796971043,846.7919534048036
9,9,819.8688360681576,834.5013700729236,840.3597417019452
10,10,820.6112193663912,833.4336443033608,838.0026948839019
11,11,823.5088866945607,834.7882615833096,838.4014072378311
12,12,829.4504989394668,839.40606267258,842.3015644138676
13,13,836.5504196731914,845.3683161207126,847.715699548435
14,14,844.6468939318429,852.4740859413956,854.3841809900292
15,15,852.7491231354041,859.7109608734133,861.2723379155752
16,16,862.6435094587047,868.8440067455417,870.1237241240003
17,17,874.2231961441946,879.755166641494,880.8084417731634
18,18,886.3899882562256,891.3375082616501,892.2107856563557
19,19,899.897007947652,904.3328973227992,905.0632177631834
20,20,913.1205311892534,917.1062734882548,917.7218711963693
21,21,926.7685822110038,930.3565242881567,930.8798464230189
22,22,940.8839357757809,944.1185151839635,944.567247388374
23,23,955.0850558879532,958.0055109003794,958.3936600080282
24,24,969.6923764721178,972.3333774017606,972.6717796787455
25,25,984.8340518267015,987.2255163312502,987.5227877581247
26,26,1000.0156460127051,1002.1830033875615,1002.4459368351522
27,27,1015.6536879625577,1017.6191210683677,1017.8533247469024
28,28,1031.5880486209264,1033.3711580700601,1033.5812712064187
29,29,1047.7466164152693,1049.3658354599536,1049.5557525892127
30,30,1064.3266491384486,1065.7993903072404,1065.9723388636828
31,31,1080.7097735365508,1082.051600368452,1082.2102267922717
32,32,1097.6893651831906,1098.913767719201,1099.0601795007524
33,33,1114.7439411188388,1115.8622662141079,1115.9981139996364
34,34,1131.8614582487369,1132.8831519940325,1133.009683578497
35,35,1149.619142839107,1150.5527900152363,1150.6709842431148
36,36,1167.112144745448,1167.9658036542114,1168.076449300804
37,37,1184.873799546802,1185.655301958627,1185.7591793881086
38,38,1203.0184876078781,1203.7353519396916,1203.833241687963
39,39,1221.4436369761743,1222.1024211279685,1222.1949566066835
40,40,1240.061150657851,1240.6672901983945,1240.7549208613914
41,41,1258.7791479267182,1259.3370916125461,1259.42011241399
42,42,1277.6020352479136,1278.1157871903902,1278.1944564543649
43,43,1296.5452919021695,1297.0185470925198,1297.093115974091
44,44,1315.6615396975787,1316.0976839869245,1316.1683964648157
45,45,1335.018257817321,1335.420367900337,1335.4874607713134
46,46,1354.5839934630262,1354.9548567717395,1355.0185589159007
47,47,1374.3401233626582,1374.682317683222,1374.7428471384937
48,48,1394.2582322242777,1394.5741455987813,1394.6317088299304
