Memory Allocated. Setting minimizer next.
beta=3 & z0=0.05 & lbda=5
200 values of k read.
log10(k [h Mpc^-1])    P(k) [h^-3 Mpc^3]
  -2.609136e-01          6.734129e+02
  -2.393004e-01          6.406981e+02
  -2.176872e-01          6.100161e+02
  -1.960740e-01          5.811499e+02
  -1.744608e-01          5.540003e+02
  -1.528475e-01          5.283466e+02
  -1.312343e-01          5.040332e+02
  -1.096211e-01          4.809249e+02
  -8.800789e-02          4.589018e+02
  -6.639468e-02          4.378550e+02
  -4.478146e-02          4.176785e+02
  -2.316825e-02          3.982769e+02
  -1.555029e-03          3.795682e+02
   2.005819e-02          3.614819e+02
   4.167140e-02          3.439617e+02
   6.328462e-02          3.269636e+02
   8.489784e-02          3.104513e+02
   1.065111e-01          2.943956e+02
   1.281243e-01          2.787766e+02
   1.497375e-01          2.635884e+02
   1.713507e-01          2.488301e+02
   1.929639e-01          2.345026e+02
   2.145771e-01          2.206090e+02
   2.361903e-01          2.071659e+02
   2.578036e-01          1.941978e+02
   2.794168e-01          1.817247e+02
   3.010300e-01          1.697616e+02
l=2
