0 0.000000e+00 1 0.000000e+00 1 0.000000e+00 1
1 0.000000e+00 1 0.000000e+00 1 0.000000e+00 1
2 1.183751e-03 0 1.519677e-03 0 1.664691e-04 0
3 5.508778e-04 0 1.445110e-03 0 9.190925e-05 0
4 3.077187e-04 0 1.323767e-03 0 5.588032e-05 0
5 1.934298e-04 0 1.192603e-03 0 3.620826e-05 0
6 1.320799e-04 0 1.068465e-03 0 2.457472e-05 0
7 9.588133e-05 0 9.578004e-04 0 1.729242e-05 0
8 7.289798e-05 0 8.619344e-04 0 1.253330e-05 0
9 5.746596e-05 0 7.798800e-04 0 9.314291e-06 0
10 4.662919e-05 0 7.097876e-04 0 7.074074e-06 0
11 3.871724e-05 0 6.542459e-04 0 5.461222e-06 0
12 3.280102e-05 0 6.013207e-04 0 4.297843e-06 0
13 2.822460e-05 0 5.552685e-04 0 3.435085e-06 0
14 2.459326e-05 0 5.147886e-04 0 2.783846e-06 0
15 2.167383e-05 0 4.788617e-04 0 2.284262e-06 0
16 1.930345e-05 0 4.466999e-04 0 1.895309e-06 0
17 1.735472e-05 0 4.177068e-04 0 1.588314e-06 0
18 1.571861e-05 0 3.914236e-04 0 1.342976e-06 0
19 1.434566e-05 0 3.674931e-04 0 1.144657e-06 0
20 1.315877e-05 0 3.456385e-04 0 9.826483e-07 0
21 1.212994e-05 0 3.256320e-04 0 8.490342e-07 0
22 1.123534e-05 0 3.072901e-04 0 7.378752e-07 0
23 1.045034e-05 0 2.904506e-04 0 6.446669e-07 0
24 9.758197e-06 0 2.749792e-04 0 5.659494e-07 0
25 9.144057e-06 0 2.607464e-04 0 4.990374e-07 0
26 8.594979e-06 0 2.476491e-04 0 4.418240e-07 0
27 8.103723e-06 0 2.355790e-04 0 3.926438e-07 0
28 7.661301e-06 0 2.244461e-04 0 3.501619e-07 0
29 7.261767e-06 0 2.141667e-04 0 3.133030e-07 0
30 6.898661e-06 0 2.046575e-04 0 2.811917e-07 0
31 6.567570e-06 0 1.958527e-04 0 2.531110e-07 0
32 6.265330e-06 0 1.876853e-04 0 2.284723e-07 0
33 5.989181e-06 0 1.800946e-04 0 2.067789e-07 0
34 5.735118e-06 0 1.730298e-04 0 1.876224e-07 0
35 5.500276e-06 0 1.664418e-04 0 1.706573e-07 0
36 5.283154e-06 0 1.602871e-04 0 1.555891e-07 0
37 5.081064e-06 0 1.545270e-04 0 1.421734e-07 0
38 4.894690e-06 0 1.491267e-04 0 1.301978e-07 0
39 4.722051e-06 0 1.440552e-04 0 1.194811e-07 0
40 4.560669e-06 0 1.392848e-04 0 1.098689e-07 0
41 4.409902e-06 0 1.347907e-04 0 1.012276e-07 0
42 4.268109e-06 0 1.305507e-04 0 9.344192e-08 0
43 4.134877e-06 0 1.265448e-04 0 8.641203e-08 0
44 4.009494e-06 0 1.227556e-04 0 8.005120e-08 0
45 3.891929e-06 0 1.191667e-04 0 7.428403e-08 0
46 3.781533e-06 0 1.157641e-04 0 6.904448e-08 0
47 3.677164e-06 0 1.125343e-04 0 6.427533e-08 0
48 3.578634e-06 0 1.094658e-04 0 5.992589e-08 0
49 3.485241e-06 0 1.065476e-04 0 5.595213e-08 0
50 3.397106e-06 0 1.037702e-04 0 5.231488e-08 0
51 3.313833e-06 0 1.011243e-04 0 4.898010e-08 0
52 3.235291e-06 1 9.860186e-05 1 4.591744e-08 1
53 3.160031e-06 1 9.619505e-05 1 4.310003e-08 1
54 3.088067e-06 1 9.389703e-05 1 4.050419e-08 1
55 3.019394e-06 1 9.170125e-05 1 3.810893e-08 1
56 2.954394e-06 1 8.960164e-05 1 3.589530e-08 1
57 2.892619e-06 1 8.759263e-05 1 3.384678e-08 1
58 2.833857e-06 1 8.566899e-05 1 3.194829e-08 1
59 2.777556e-06 1 8.382579e-05 1 3.018662e-08 1
60 2.723741e-06 1 8.205861e-05 1 2.854989e-08 1
61 2.672594e-06 1 8.036319e-05 1 2.702720e-08 1
62 2.623139e-06 1 7.873561e-05 1 2.560909e-08 1
63 2.575761e-06 1 7.717192e-05 1 2.428659e-08 1
64 2.530490e-06 1 7.566901e-05 1 2.305216e-08 1
65 2.486909e-06 1 7.422345e-05 1 2.189850e-08 1
66 2.445211e-06 1 7.283229e-05 1 2.081933e-08 1
67 2.405013e-06 1 7.149240e-05 1 1.980890e-08 1
68 2.366772e-06 1 7.020151e-05 1 1.886170e-08 1
69 2.329980e-06 1 6.895698e-05 1 1.797299e-08 1
70 2.294688e-06 1 6.775652e-05 1 1.713856e-08 1
71 2.260568e-06 1 6.659768e-05 1 1.635418e-08 1
72 2.227684e-06 1 6.547866e-05 1 1.561638e-08 1
73 2.195856e-06 1 6.439748e-05 1 1.492186e-08 1
74 2.165150e-06 1 6.335218e-05 1 1.426739e-08 1
75 2.135730e-06 1 6.234128e-05 1 1.365018e-08 1
76 2.107313e-06 1 6.136300e-05 1 1.306778e-08 1
77 2.080061e-06 1 6.041584e-05 1 1.251773e-08 1
78 2.053811e-06 1 5.949833e-05 1 1.199789e-08 1
79 2.028413e-06 1 5.860934e-05 1 1.150621e-08 1
80 2.003830e-06 1 5.774737e-05 1 1.104087e-08 1
81 1.980119e-06 1 5.691130e-05 1 1.060015e-08 1
82 1.957147e-06 1 5.610013e-05 1 1.018246e-08 1
83 1.934881e-06 1 5.531255e-05 1 9.786342e-09 1
84 1.913290e-06 1 5.454774e-05 1 9.410445e-09 1
85 1.892346e-06 1 5.380473e-05 1 9.053504e-09 1
86 1.871938e-06 1 5.308252e-05 1 8.714355e-09 1
