 Omega P expXi2 raw_logp raw_xi2
0 0.275 2.5712209617158566e-11 1.0 533.4584877879986 185.65096897236813
1 0.276 1.0057090181467768e-10 0.06536332118666438 534.8223847959845 182.92317495639622
2 0.277 3.79796631925543e-10 0.004583282027017493 536.1511577568513 180.26562903466254
3 0.278 1.3940241983092683e-09 0.00034020302806189636 537.4514717766053 177.66500099515463
4 0.279 4.971951044570109e-09 2.6743922952302842e-05 538.7230894328909 175.12176568258357
5 0.28 1.715522323950924e-08 2.2463946298858763e-06 539.9615797948286 172.6447849587081
6 0.281 5.7599705536406366e-08 1.9926832652169066e-07 541.1727945609894 170.22235542638654
7 0.28200000000000003 1.8748982309815948e-07 1.8807167885139167e-08 542.3530016726434 167.86194120307863
8 0.28300000000000003 5.904226234636792e-07 1.8964998803525424e-09 543.5001156969427 165.56771315447997
9 0.28400000000000003 1.8296377264435235e-06 1.9749158104298008e-10 544.6311503680618 163.3056438122417
10 0.28500000000000003 5.428612960514277e-06 2.2433706905767437e-11 545.7187160457607 161.13051245684372
11 0.28600000000000003 1.562913352743283e-05 2.7065060162603886e-12 546.77616909089 159.0156063665852
12 0.28700000000000003 4.384238751510405e-05 3.439461141235282e-13 547.8076334853971 156.952677577571
13 0.28800000000000003 0.00011910221496138775 4.66057094750268e-14 548.807014458179 154.9539156320073
14 0.28900000000000003 0.0003351499208099135 5.8857330115495695e-15 549.8416103410193 152.8847238663265
15 0.29000000000000004 0.0008029293260471804 1.0254728328383562e-15 550.7152990821768 151.13734638401164
16 0.29100000000000004 0.0019949623124565583 1.661152134605321e-16 551.6254128226442 149.31711890307685
17 0.29200000000000004 0.004805054198611238 2.8634013057648585e-17 552.5044559854664 147.55903257743236
18 0.29300000000000004 0.011265851819525888 5.2089565007472595e-18 553.3565638509747 145.85481684641587
19 0.29400000000000004 0.025576420616692883 1.0106464829033483e-18 554.1764585208598 144.21502750664584
20 0.29500000000000004 0.05633276755418827 2.0833230735008355e-19 554.9660640462678 142.63581645582974
21 0.29600000000000004 0.12096886122316891 4.517848000965411e-20 555.7303208306947 141.10730288697582
22 0.29700000000000004 0.25190424041134074 1.0418563511700501e-20 556.4638366804061 139.64027118755305
23 0.29800000000000004 0.5091321464881368 2.5504555660400577e-21 557.1674952661547 138.23295401605594
24 0.29900000000000004 1.0 6.611177233966075e-22 557.8425429424622 136.88285866344086
