 Omega P expXi2 raw_logp raw_xi2
0 0.3 0.0008420674793983345 1.0 558.4894333129153 135.5890779225346
1 0.301 0.0015603713896679245 0.2912311553810812 559.1062523022902 134.35543994378486
2 0.302 0.0028064844016873983 0.09002611831817388 559.6932610365241 133.1814224753171
3 0.303 0.00492286267783337 0.029258923787908415 560.2552186454491 132.05750725746694
4 0.304 0.008373729834644156 0.010112438667403438 560.7864278437373 130.9950888608906
5 0.305 0.013791136176234673 0.003728152740820376 561.2853545187893 129.99723551078662
6 0.306 0.022150084668528306 0.0014452501036602992 561.7591697580538 129.04960503225774
7 0.307 0.03459886824974682 0.000592338559048234 562.2051494110468 128.1576457262716
8 0.308 0.052497871402594834 0.00025728259122196245 562.6221010631261 127.323742422113
9 0.309 0.07740766978437764 0.00011833842980486193 563.0104143075707 126.5471159332237
10 0.31 0.11114097940364251 5.740442238312497e-05 563.3721279192175 125.82368870993022
11 0.311 0.15504543699695092 2.94968616787107e-05 563.7050466549404 125.15785123848444
12 0.312 0.2103134041681652 1.603097306748575e-05 564.0099272580579 124.54809003224938
13 0.313 0.2777443899691452 9.191855730418341e-06 564.2880296692479 123.99188520986942
14 0.314 0.35671890488789687 5.572390438256541e-06 564.5382765294288 123.49139148950762
15 0.315 0.4457645344486298 3.5684758783146124e-06 564.7611193020018 123.04570594436169
16 0.316 0.5415313352420672 2.4179460525473234e-06 564.9557293713128 122.65648580573958
17 0.317 0.6407988096932292 1.7268332317737812e-06 565.124043977283 122.3198565937993
18 0.318 0.7376763114093728 1.3030531056372963e-06 565.264833565023 122.03827741831944
19 0.319 0.8272285794888978 1.0361979531040392e-06 565.3794094918926 121.80912556457999
20 0.32 0.9027211046553563 8.701349213465459e-07 565.4667420905724 121.63446036722038
21 0.321 0.9586787451804942 7.715207182105273e-07 565.5268844684407 121.51417561148389
22 0.322 0.9920164793651812 7.205365521739129e-07 565.5610681584732 121.44580823141885
23 0.323 1.0 7.090776398602846e-07 565.5690837180451 121.42977711227488
24 0.324 0.982081110232371 7.351891263007044e-07 565.5510023409845 121.46593986639613
