 Omega P expXi2 raw_logp raw_xi2
0 0.25 5.89824341539233e-13 1.0 540.2858611361694 247.03962999999766
1 0.251 2.5979670158979255e-12 0.051543999870925596 541.7685208709943 244.0743105303477
2 0.252 1.1180679326569366e-11 0.002782973044321508 543.2279788773294 241.15539451767748
3 0.253 4.654266240604332e-11 0.0001605990372180308 544.6541610118574 238.30303024862167
4 0.254 1.8959309268592243e-10 9.678328554404748e-06 546.0586718069616 235.49400865841318
5 0.255 7.493278000399866e-10 6.195861379131419e-07 547.4329681868156 232.74541589870512
6 0.256 2.894141331298212e-09 4.153420596156331e-08 548.784235390755 230.0428814908263
7 0.257 1.0843544088227922e-08 2.958713299695899e-09 550.1051168157528 227.40111864083082
8 0.258 3.961170260037379e-08 2.217166783380421e-10 551.4006715225822 224.81000922717186
9 0.259 1.4075934107479265e-07 1.7558642348977167e-11 552.6685985590138 222.2741551543086
10 0.26 4.8621645779094e-07 1.4715874416988596e-12 553.9082008389144 219.79495059450764
11 0.261 1.640024895499394e-06 1.2934346815944743e-13 555.1240136286534 217.36332501502957
12 0.262 5.36295287502776e-06 1.2095878659540996e-14 556.3088169396578 214.99371839302054
13 0.263 1.7123262285248342e-05 1.1865126287522125e-15 557.4697401133553 212.67187204562583
14 0.264 5.309928800227293e-05 1.2338659728946164e-16 558.6014657262879 210.40842081976058
15 0.265 0.0001603399400364737 1.353199876234017e-17 559.7065983933874 208.19815548556159
16 0.266 0.0004719638268320144 1.5618091230055218e-18 560.7862045513309 206.03894316967467
17 0.267 0.0013185800327800623 2.000932292267069e-19 561.8136129105723 203.9841264511919
18 0.268 0.003762870476223581 2.457009547621571e-20 562.8622395764012 201.8868731195341
19 0.269 0.01017134351509305 3.3627047647520583e-21 563.8566317927796 199.89808868677707
20 0.27 0.02685935226617292 4.822300978104435e-22 564.827671561353 197.9560091496304
21 0.271 0.06911909120616443 7.281977697333544e-23 565.7728884620825 196.06557534817148
22 0.272 0.17280341198569854 1.1650397851900792e-23 566.6892120871947 194.2329280979469
23 0.273 0.4218713765198339 1.954723180055108e-24 567.581757958332 192.4478363556725
24 0.274 1.0 3.4789275387218974e-25 568.4448127647142 190.72172674290795
