 Omega P expXi2 raw_logp raw_xi2
0 0.325 0.9843173215264881 3.6137329686422825e-08 527.6474256367744 136.49145387138654
1 0.326 1.0 3.501275728798816e-08 527.6632325894641 136.45983996600725
2 0.327 0.983369574720403 3.620701974771962e-08 527.6464623261164 136.49338049270247
3 0.328 0.9358971813725041 3.997330290934976e-08 527.5969829319647 136.59233928100605
4 0.329 0.8606634234157748 4.726717207733223e-08 527.5131808249125 136.75994349511018
5 0.33 0.7656962131019127 5.971910835336765e-08 527.3962628129207 136.99377951909398
6 0.331 0.6591471392483718 8.058636566491736e-08 527.2464240966149 137.29345695170554
7 0.332 0.5451571334201932 1.1781020582684206e-07 527.0565513817917 137.673202381352
8 0.333 0.44262803328819095 1.7870984630109662e-07 526.8482070738432 138.08989099724897
9 0.334 0.3455079912953537 2.9329868772395553e-07 526.6004930830759 138.58531897878373
10 0.335 0.26085389806217846 5.145548206376805e-07 526.3194377835312 139.14742957787303
11 0.336 0.19090919544340973 9.606664381679446e-07 526.0072752089557 139.7717547270241
12 0.337 0.1353358609492577 1.9116154550276542e-06 525.6632368582061 140.45983142852327
13 0.338 0.09298041859106884 4.049890855932682e-06 525.2878662286817 141.21057268757212
14 0.339 0.06178643444300478 9.171493142313983e-06 524.8791611434556 142.02798285802427
15 0.34 0.03981752006284927 2.2084008117038414e-05 524.4397843284958 142.90673648794387
16 0.341 0.024875149617763857 5.658416480942706e-05 523.969346608293 143.84761192834938
17 0.342 0.01511993808264756 0.00015315327489711877 523.471491586162 144.84332197261142
18 0.343 0.008845734232655335 0.00044746445195502897 522.9354126456892 145.91547985355686
19 0.34400000000000003 0.004992512624420701 0.0014047141906343259 522.3634166254637 147.05947189400774
20 0.34500000000000003 0.0027518918542339317 0.0046234225602298056 521.7677659326275 148.2507732796804
21 0.34600000000000003 0.0014720725678105918 0.016157265962139667 521.1421486283579 149.50200788821968
22 0.34700000000000003 0.0007633989577347445 0.06007906813611823 520.4855028065163 150.81529953190278
23 0.34800000000000003 0.000384056959871763 0.23737503054499737 519.7985129060867 152.18927933276206
24 0.34900000000000003 0.00018711696151869068 1.0 519.079455915501 153.6273933139335
