 Omega P expXi2 raw_logp raw_xi2
0 0.3 0.475748688090321 0.014251742812521258 581.8066485238957 163.99805522454506
1 0.301 0.5669932853840043 0.01003384397680089 581.9821062365857 163.64713979916507
2 0.302 0.6600142388384237 0.007404855113717815 582.1340201840696 163.34331190419698
3 0.303 0.7507452345737122 0.005723187929734607 582.2628251345734 163.08570200318968
4 0.304 0.8333443795034781 0.004644876313738308 582.3672057527888 162.87694076675882
5 0.305 0.9027990279122338 0.0039576830383259 582.4472587434794 162.7168347853775
6 0.306 0.9563450684321183 0.003526906364695905 582.5048775734516 162.60159712543313
7 0.307 0.9896753678111582 0.003293348218892095 582.5391357533364 162.53308076566364
8 0.308 1.0 0.003225694065264021 582.5495140542664 162.51232416380356
9 0.309 0.9882254287224845 0.003303019407803366 582.5376696137292 162.53601304487796
10 0.31 0.9538458127961522 0.0035454128958357788 582.5022608118634 162.6068306486096
11 0.311 0.9003813728319783 0.0039789654836294205 582.444577196444 162.72219787944837
12 0.312 0.8309275237473367 0.0046719360074784595 582.364301350629 162.88274957107836
13 0.313 0.7496661222134331 0.005739676357500043 582.2613867123148 163.08857884770674
14 0.314 0.6611216646431689 0.007380068572887385 582.1356966596861 163.33995895296405
15 0.315 0.5703001631457446 0.009917819122722174 581.9879215995168 163.6355090733029
16 0.316 0.4812371982698008 0.013928514344427623 581.8181190595346 163.975114153267
17 0.317 0.397210856347837 0.020444710036563115 581.6262260392767 164.35890019378292
18 0.318 0.32082577810737234 0.03133896596139767 581.4126570037446 164.7860382648473
19 0.319 0.25345576669886954 0.050213306643890995 581.1769480927505 165.2574560868353
20 0.32 0.1962235887928848 0.0837762171804754 580.9210135434909 165.76932518535466
21 0.321 0.14858525802762362 0.1461072375470189 580.6429176969107 166.32551687851486
22 0.322 0.11017024919812064 0.26576299636651884 580.3437856645754 166.92378094318556
23 0.323 0.07995765693077872 0.5045486598208917 580.0232559814704 167.56484030939578
24 0.324 0.05679519403315922 1.0 579.6812104853393 168.24893130165782
