 Omega P expXi2 raw_logp raw_xi2
0 0.25 4.0529191642080404e-19 1.0 489.7191722190071 273.1296001103511
1 0.251 3.311708542708152e-18 0.014977235784692915 491.8197841414955 268.92837626537425
2 0.252 2.6441799553725825e-17 0.00023493832399063412 493.89726598369214 264.77341258098096
3 0.253 2.0291048290057138e-16 3.9895775807226e-06 495.9350848200872 260.6977749081909
4 0.254 1.5285544320982633e-15 7.030303374840126e-08 497.95439766137963 256.659149225606
5 0.255 1.1120537247746053e-14 1.3282638265893962e-09 499.93886878951855 252.69020696932816
6 0.256 7.903629886450621e-14 2.6295576339991227e-11 501.89998241445323 248.7679797194587
7 0.257 5.431450065442796e-13 5.568065061449414e-13 503.82745151954305 244.91304150927908
8 0.258 3.633041795439162e-12 1.2445005570218394e-14 505.7279007247593 241.1121430988467
9 0.259 2.35913310861168e-11 2.9514198396469297e-16 507.59870978489016 237.37052497858485
10 0.26 1.4843986162583756e-10 7.454779493952293e-18 509.43801037120187 233.6919238059615
11 0.261 9.107772427868552e-10 1.9802113366051074e-19 511.25212881511567 230.06368691813395
12 0.262 5.392039789547289e-09 5.649756193458515e-21 513.0305094991311 226.50692555010315
13 0.263 3.115552267947775e-08 1.6922549784615755e-22 514.7845772687813 222.99879001080282
14 0.264 1.7395463972421236e-07 5.428300109167244e-24 516.5043803201697 219.55918390802577
15 0.265 9.442630177529895e-07 1.8422557554924278e-25 518.1959904940203 216.17596356032473
16 0.266 4.987547607524055e-06 6.603311353561716e-27 519.860285352702 212.84737384296133
17 0.267 2.453722851787731e-05 2.7282544262169936e-28 521.4535325207364 209.66087950689243
18 0.268 0.0001264820442329033 1.0267817271888893e-29 523.0934413804332 206.38106178749877
19 0.269 0.0006054892743302646 4.480463819968123e-31 524.6593778742593 203.24918879984645
20 0.27 0.002829319507383717 2.0519741988319624e-32 526.2011325301314 200.16567948810246
21 0.271 0.012859655875857655 9.932925760180372e-34 527.7151912633324 197.13756202170066
22 0.272 0.05647224421605215 5.150694475752265e-35 529.1948455687805 194.17825341080436
23 0.273 0.24166778788767118 2.8125376836923632e-36 530.6486603098565 191.27062392865238
24 0.274 1.0 1.6426153751604801e-37 532.0688515831276 188.43024138210995
